Designator,Mid X,Mid Y,Rotation,Layer
J1,82.321999,-88.435077,270.0,top
J2,90.005499,-49.255577,0.0,top
J3,135.344499,-54.526077,270.0,top
J4,134.328499,-75.862077,270.0,top
J5,133.820499,-120.566077,270.0,top
J6,133.820499,-98.722077,270.0,top
J7,106.578999,-78.719577,90.0,top
J8,97.371499,-106.786577,0.0,top
J9,88.671999,-106.913577,180.0,top
K1,96.990499,-93.007077,180.0,top
K2,121.437999,-65.067077,0.0,top
K3,120.294999,-86.212577,0.0,top
K4,119.786999,-122.280577,0.0,top
K5,119.786999,-103.548077,0.0,top
R1,88.481499,-114.343077,270.0,top
R2,126.200499,-49.954077,270.0,top
R3,119.342499,-78.402077,0.0,top
R4,119.596499,-116.502077,0.0,top
R5,118.326499,-97.706077,0.0,top
R6,92.926499,-68.242077,0.0,top
