Designator,Mid X,Mid Y,Rotation,Layer
BZ1,-79.8195,-94.869,90.0,top
C1,-80.7085,-81.788,0.0,top
C2,-76.327,-63.119,90.0,top
C3,-62.103,-22.4155,90.0,top
C4,-90.2335,-10.4775,270.0,top
D1,-48.7045,-56.896,180.0,top
D2,-96.125,-86.3815,90.0,top
D3,-85.979,-77.946,270.0,top
D4,-37.6555,-54.483,180.0,top
D5,-37.592,-51.4985,180.0,top
D6,-57.2135,-56.8325,180.0,top
IC1,-86.4235,-7.62,270.0,top
J1,-93.1545,-80.01,90.0,top
J10,-89.9795,-56.9595,180.0,top
J11,-92.837,-68.8975,90.0,top
J12,-17.907,-71.882,0.0,top
J13,-68.707,-95.1865,0.0,top
J2,-50.1015,-96.774,180.0,top
J3,-26.8605,-97.663,180.0,top
J4,-19.6215,-95.25,0.0,top
J5,-42.6085,-94.615,0.0,top
J6,-59.817,-92.075,0.0,top
J7,-59.6265,-7.366,0.0,top
J8,-7.239,-25.781,270.0,top
J9,-93.98,-40.64,180.0,top
Q1,-67.945268,-86.850856,90.0,top
Q2,-44.196,-61.9125,0.0,top
Q3,-29.5275,-62.992,0.0,top
Q4,-19.146095,-84.77,180.0,top
R1,-47.879,-61.468,90.0,top
R10,-36.83,-86.233,90.0,top
R11,-59.1185,-85.0265,180.0,top
R12,-59.944,-81.28,180.0,top
R13,-53.6575,-56.769,180.0,top
R14,-14.126429,-81.824939,270.0,top
R15,-19.939,-77.343,180.0,top
R2,-70.581948,-82.106915,0.0,top
R3,-66.548,-81.534,90.0,top
R4,-91.5035,-85.344,0.0,top
R5,-44.6405,-57.7215,0.0,top
R6,-52.0065,-72.479,270.0,top
R7,-30.607,-53.594,180.0,top
R8,-42.545,-82.931,180.0,top
R9,-24.765,-76.454,90.0,top
TP1+1,-55.9435,-23.8125,0.0,top
TP1_GND1,-94.0435,-12.7,0.0,top
TP2_5,-86.5505,-85.09,0.0,top
TP3_3_3,-62.6745,-85.1535,0.0,top
TP4Fire1,-44.704,-51.562,0.0,top
TP4_12,-84.709,-71.755,0.0,top
TP5,-10.9855,-88.3285,0.0,top
U1,-73.7235,-70.104,180.0,top
U2,-32.0675,-75.946,270.0,top
U4,-45.847,-28.1305,0.0,top
U5,-26.924,-39.37,90.0,top
